Numeration,Evaluation_unit,Transect,Cover,Date,Family,Genus,Indicator_species,Plant_vigor
287,TAM-15,NO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,14
288,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,13
289,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,14
290,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,18
291,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,41
292,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,12
293,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,15
294,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,19
295,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,7
296,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,10
297,TAM-15,SO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,25
